timestamp,date,open,high,low,close,vwap,volume,count
1747958400,2025-05-23,179.70,187.57,173.17,174.05,181.31,427392.53776897,29864
1748044800,2025-05-24,174.05,178.28,172.67,175.97,175.51,54519.33503916,9585
1748131200,2025-05-25,175.95,176.85,169.28,175.85,172.27,102433.61199120,11023
1748217600,2025-05-26,175.85,179.00,173.56,175.07,176.44,103170.53155492,11079
1748304000,2025-05-27,175.01,179.40,171.36,176.80,176.76,119400.31346966,12088
1748390400,2025-05-28,176.78,177.38,169.06,172.28,172.50,149537.26268608,12759
1748476800,2025-05-29,172.26,175.35,166.02,166.64,171.16,153607.79491481,13880
1748563200,2025-05-30,166.68,167.41,155.35,156.20,161.50,259587.44457918,16572
1748649600,2025-05-31,156.20,158.12,152.08,156.53,155.26,194644.38945575,11909
1748736000,2025-06-01,156.53,157.87,150.59,157.74,154.30,161512.24831978,10177
1748822400,2025-06-02,157.74,159.01,151.84,156.90,155.10,173613.65137072,11654
1748908800,2025-06-03,156.91,163.58,154.30,155.31,159.17,151371.00936882,13992
1748995200,2025-06-04,155.28,157.96,153.03,153.21,155.54,158048.90901679,10516
1749081600,2025-06-05,153.18,154.59,141.60,144.39,147.76,227968.67712981,17304
1749168000,2025-06-06,144.37,152.41,144.34,147.91,148.87,194930.69789969,13153
1749254400,2025-06-07,147.91,152.80,147.12,150.14,150.54,59309.31739456,7695
1749340800,2025-06-08,150.14,155.21,148.09,152.53,151.49,66623.49440602,8655
1749427200,2025-06-09,152.53,161.68,149.77,161.22,154.85,250560.59717350,17185
1749513600,2025-06-10,161.22,165.62,156.37,165.13,161.02,306499.51469976,19882
1749600000,2025-06-11,165.14,168.30,159.40,160.99,165.02,218585.51891448,20289
1749686400,2025-06-12,160.98,161.32,152.11,152.46,157.43,196710.56436280,17220
1749772800,2025-06-13,152.34,152.59,141.00,148.66,145.85,230223.95845243,22656
1749859200,2025-06-14,148.68,148.76,142.14,144.73,144.76,119880.75990573,10084
1749945600,2025-06-15,144.73,153.62,144.34,152.91,148.49,149148.47938541,13206
1750032000,2025-06-16,152.91,158.76,150.42,150.67,155.55,167404.36060466,16722
1750118400,2025-06-17,150.78,154.29,145.67,147.60,149.58,196649.83526832,15101
1750204800,2025-06-18,147.60,149.22,143.69,146.42,146.27,106186.67366413,10510
1750291200,2025-06-19,146.49,149.99,143.03,147.09,145.66,149678.78165645,10408
1750377600,2025-06-20,147.09,148.74,135.65,140.15,142.47,170221.12171911,15274
1750464000,2025-06-21,140.15,142.55,131.00,135.46,137.49,132098.43098672,11295
1750550400,2025-06-22,135.55,137.51,126.07,131.81,130.38,319473.74974706,19256
1750636800,2025-06-23,131.81,146.88,130.80,144.62,137.45,248784.43025715,18215
1750723200,2025-06-24,144.60,146.74,142.46,145.96,144.46,203908.29526393,12470
1750809600,2025-06-25,145.96,147.92,142.35,143.61,145.27,131100.29990216,11007
1750896000,2025-06-26,143.60,147.90,138.79,139.16,142.74,150665.05714379,12717
1750982400,2025-06-27,139.15,144.79,137.22,142.15,141.70,152853.58587471,11922
1751068800,2025-06-28,142.17,152.62,141.24,150.78,147.75,123053.25659586,15390
1751155200,2025-06-29,150.82,154.74,149.49,153.41,151.74,100398.86734037,14502
1751241600,2025-06-30,153.43,160.00,149.50,154.85,154.80,134310.69444957,16543
1751328000,2025-07-01,154.87,155.58,144.74,146.91,149.23,165541.30150120,15244
1751414400,2025-07-02,146.91,154.44,145.98,152.37,150.28,164221.23172978,15140
1751500800,2025-07-03,152.37,156.35,150.06,152.41,152.75,117829.93172173,12990
1751587200,2025-07-04,152.41,153.87,145.31,147.74,149.28,124918.91617995,11754
1751673600,2025-07-05,147.73,148.60,146.00,147.59,147.53,62099.14878135,7043
1751760000,2025-07-06,147.61,153.83,146.88,151.91,150.65,62643.87853997,9103
